Planting number,Planting Name,Date,DOY,L1,L2,L3,L4,L5,L6,L7,L8,,,,,,,,,,,,,,,,,,
1,PI_F_R1_2018,2018-07-06,186,0.272200881,0.247856963,0.249279116,0.282929772,0.300999485,0.329735347,0.257337509,0.257337509,,,,,,,,,,,,,,,,,,
1,PI_F_R1_2018,2018-07-18,197,0.287475016,0.258466413,0.292435362,0.320962581,0.333478558,0.330422818,0.26691428,0.26691428,,,,,,,,,,,,,,,,,,
1,PI_F_R1_2018,2018-07-23,204,0.281882326,0.252543332,0.281167737,0.31044548,0.32929022,0.314202178,0.24489162,0.24489162,,,,,,,,,,,,,,,,,,
1,PI_F_R1_2018,2018-07-31,212,0.342305632,0.30964751,0.338499611,0.368014695,0.396400251,0.36794103,0.299878188,0.299878188,,,,,,,,,,,,,,,,,,
1,PI_F_R1_2018,2018-08-24,235,0.280702884,0.243693364,0.250650821,0.280432893,0.305230518,0.310464188,0.277379919,0.277379919,,,,,,,,,,,,,,,,,,
1,PI_F_R1_2018,2018-09-07,250,0.272834508,0.228720756,0.228741321,0.257183895,0.295230721,0.300577843,0.294778272,0.294778272,,,,,,,,,,,,,,,,,,
1,PI_F_R1_2018,2018-11-16,320,0.271720809,0.244850097,0.263715493,0.295417343,0.318135671,0.323645565,0.307874493,0.307874493,,,,,,,,,,,,,,,,,,
2,PI_F_R2_2018,2018-07-06,186,0.272200881,0.247856963,0.249279116,0.282929772,0.300999485,0.329735347,0.268059905,0.268059905,,,,,,,,,,,,,,,,,,
2,PI_F_R2_2018,2018-07-18,197,0.271610282,0.250743344,0.249968944,0.276549698,0.300828182,0.329083315,0.274791601,0.274791601,,,,,,,,,,,,,,,,,,
2,PI_F_R2_2018,2018-07-23,204,0.268672633,0.245029937,0.241273239,0.268672633,0.292478664,0.31889805,0.274940602,0.274940602,,,,,,,,,,,,,,,,,,
2,PI_F_R2_2018,2018-07-31,212,0.277468349,0.255067011,0.252660783,0.277809054,0.301658387,0.32855277,0.293013004,0.293013004,,,,,,,,,,,,,,,,,,
2,PI_F_R2_2018,2018-08-15,226,0.397241295,0.375654183,0.350007334,0.298324678,0.325527355,0.353921213,0.370524813,0.370524813,,,,,,,,,,,,,,,,,,
2,PI_F_R2_2018,2018-08-21,232,0.282662817,0.258336485,0.247050627,0.263015459,0.283442646,0.30226685,0.307552358,0.307552358,,,,,,,,,,,,,,,,,,
2,PI_F_R2_2018,2018-08-24,235,0.270796295,0.243132613,0.229986134,0.243298761,0.264337282,0.283714321,0.256299861,0.256299861,,,,,,,,,,,,,,,,,,
2,PI_F_R2_2018,2018-08-28,239,0.324869043,0.283961493,0.264712327,0.27732385,0.308176599,0.321058544,0.287870328,0.287870328,,,,,,,,,,,,,,,,,,
2,PI_F_R2_2018,2018-09-04,247,0.292847281,0.254789938,0.232150234,0.235998984,0.265996592,0.293707589,0.279852091,0.279852091,,,,,,,,,,,,,,,,,,
2,PI_F_R2_2018,2018-09-07,250,0.260968012,0.225306824,0.204494182,0.204021167,0.240319896,0.256587485,0.247661905,0.247661905,,,,,,,,,,,,,,,,,,
2,PI_F_R2_2018,2018-09-10,253,0.259677989,0.217589891,0.200165012,0.19813177,0.227796763,0.249105133,0.243412057,0.243412057,,,,,,,,,,,,,,,,,,
2,PI_F_R2_2018,2018-09-24,267,0.249648247,0.210949364,0.196276707,0.212876279,0.277448015,0.308760389,0.316588482,0.316588482,,,,,,,,,,,,,,,,,,
2,PI_F_R2_2018,2018-10-01,274,0.251740081,0.214139219,0.19951442,0.213433194,0.2722148,0.299366495,0.301424053,0.301424053,,,,,,,,,,,,,,,,,,
2,PI_F_R2_2018,2018-11-16,320,0.246423362,0.229429791,0.229059963,0.240080822,0.262899176,0.277322447,0.285662056,0.285662056,,,,,,,,,,,,,,,,,,
3,PI_F_R3_2018,2018-07-06,186,0.334545571,0.323189259,0.297506844,0.273518464,0.311456494,0.336386005,0.273162926,0.273162926,,,,,,,,,,,,,,,,,,
3,PI_F_R3_2018,2018-07-18,197,0.231446134,0.23559022,0.24636903,0.255829267,0.277449676,0.344069,0.259805916,0.259805916,,,,,,,,,,,,,,,,,,
3,PI_F_R3_2018,2018-07-23,204,0.224898936,0.225654359,0.236209863,0.247112454,0.264425931,0.334006509,0.240538233,0.240538233,,,,,,,,,,,,,,,,,,
3,PI_F_R3_2018,2018-07-31,212,0.279665881,0.278806457,0.2930729,0.305620494,0.317824318,0.396056481,0.309328296,0.309328296,,,,,,,,,,,,,,,,,,
3,PI_F_R3_2018,2018-08-24,235,0.230173051,0.229653837,0.236009007,0.247930144,0.248781653,0.310941864,0.239103518,0.239103518,,,,,,,,,,,,,,,,,,
3,PI_F_R3_2018,2018-09-07,250,0.219959703,0.215743703,0.221275917,0.233204111,0.235630882,0.296444106,0.256422958,0.256422958,,,,,,,,,,,,,,,,,,
3,PI_F_R3_2018,2018-11-16,320,0.210493117,0.216641839,0.238821156,0.270103775,0.286613492,0.326400511,0.31074922,0.31074922,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-07-06,186,0.229452626,0.237044415,0.242628458,0.246183841,0.28234418,0.343684997,0.227967731,0.227967731,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-07-18,197,0.336806385,0.327388007,0.29561668,0.267842931,0.305097847,0.340510947,0.290195881,0.290195881,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-07-23,204,0.328636881,0.318918467,0.290702399,0.261118404,0.298746633,0.32690145,0.269264721,0.269264721,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-07-31,212,0.400108053,0.386897474,0.360795531,0.315589815,0.356375635,0.390408836,0.340783224,0.340783224,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-08-15,226,0.374924889,0.380394596,0.34023479,0.321248829,0.349618377,0.394688765,0.366586624,0.366586624,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-08-21,232,0.392095821,0.375669501,0.343446778,0.29038831,0.314276735,0.359340091,0.374482348,0.374482348,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-08-24,235,0.329446624,0.313018717,0.291938659,0.244461799,0.262862717,0.295116244,0.282322829,0.282322829,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-08-28,239,0.393925118,0.37548722,0.342766097,0.284502338,0.308987867,0.350264175,0.321550222,0.321550222,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-09-04,247,0.311636209,0.295905812,0.274052442,0.225310366,0.242974333,0.276771525,0.290467646,0.290467646,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-09-07,250,0.314500925,0.306953257,0.282685551,0.230777341,0.245872676,0.280135386,0.292886214,0.292886214,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-09-10,253,0.308435119,0.299834507,0.277570514,0.228345738,0.240199536,0.273870014,0.281575999,0.281575999,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-09-24,267,0.304745982,0.29328485,0.272530366,0.226806271,0.258479942,0.311189105,0.328611631,0.328611631,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-10-01,274,0.30535762,0.299184946,0.272638415,0.230377789,0.264811626,0.31092513,0.321777739,0.321777739,,,,,,,,,,,,,,,,,,
4,PI_F_R4_2018,2018-11-16,320,0.323485858,0.313963324,0.296655073,0.268746265,0.283998289,0.306996104,0.320092083,0.320092083,,,,,,,,,,,,,,,,,,
5,PI_VS_R2_2018,2018-07-06,186,0.275107929,0.241289961,0.24055797,0.251475088,0.291525434,0.335758584,0.257644724,0.257644724,,,,,,,,,,,,,,,,,,
5,PI_VS_R2_2018,2018-07-18,197,0.276989222,0.243501658,0.24718529,0.260371018,0.28948427,0.338062168,0.275984595,0.275984595,,,,,,,,,,,,,,,,,,
5,PI_VS_R2_2018,2018-07-23,204,0.267835543,0.241171155,0.242845335,0.259362556,0.277451873,0.328024376,0.251563324,0.251563324,,,,,,,,,,,,,,,,,,
5,PI_VS_R2_2018,2018-08-25,236,0.278106818,0.248428588,0.251959239,0.264025754,0.257836733,0.290526399,0.259020539,0.259020539,,,,,,,,,,,,,,,,,,
5,PI_VS_R2_2018,2018-09-07,250,0.271518294,0.23643295,0.240278764,0.247826432,0.236165594,0.267590216,0.242006296,0.242006296,,,,,,,,,,,,,,,,,,
5,PI_VS_R2_2018,2018-11-16,320,0.237307116,0.207073721,0.211530142,0.250713361,0.266135166,0.285809987,0.291024554,0.291024554,,,,,,,,,,,,,,,,,,
6,PI_Rs_R2_2018,2018-07-06,186,0.300602118,0.237525437,0.241206305,0.265006458,0.30503589,0.33308159,0.256348054,0.256348054,,,,,,,,,,,,,,,,,,
6,PI_Rs_R2_2018,2018-07-18,197,0.307609414,0.240843582,0.247603884,0.267319688,0.305223425,0.335759898,0.280756573,0.280756573,,,,,,,,,,,,,,,,,,
6,PI_Rs_R2_2018,2018-07-23,204,0.297378705,0.237149038,0.238782385,0.2606284,0.290824901,0.324818933,0.271633074,0.271633074,,,,,,,,,,,,,,,,,,
