,DAP,Date,Planting_num,Planting_name,Field_name,Account_name,Crop_name,Crop_height,Root,blank1,FEW,Kcb used,Ke,Evap (mm),Transpiration (mm),ET (mm),Pot transpiration (mm),Cumulative potential ET (mm),Cumulative actual ET (mm),Reference ET (mm),one minus C,blank2,DOY,WC L1,WC L2,WC L3,WC L4,WC L5,WC L6,WC L7,WC L8,WC L9,WC L10,WC L11,WC L12,WC L13,blank3,Dep L1,Dep L2,Dep L3,Dep L4,Dep L5,Dep L6,Dep L7,Dep L8,Dep L9,Dep L10,Dep L11,Dep L12,Dep L13,blank4,AF L1,AF L2,AF L3,AF L4,AF L5,AF L6,AF L7,AF L8,AF L9,AF L10,AF L11,AF L12,AF L13,blank5,Inf L1,Inf L2,Inf L3,Inf L4,Inf L5,Inf L6,Inf L7,Inf L8,Inf L9,Inf L10,Inf L11,Inf L12,Inf L13,blank6,Pdep L1,Pdep L2,Pdep L3,Pdep L4,Pdep L5,Pdep L6,Pdep L7,Pdep L8,Pdep L9,Pdep L10,Pdep L11,Pdep L12,Pdep L13,blank7,zwt,"Eq._Max (elev, m)",Eq. Max number,Irrigation (mm) + Rain (mm),Leaching (mm),Depth difference (mm),ET (mm),Sum of sources and sinks,Kcb_used,Cumulative Potential ET (mm)
0,-19,2018-06-15,1,PI_F_R2_2018,Guar,Hadiqa,Guar,0,150,0,0,,1.2,11.47602935,0,-11.47602935,0,,0,9.563357794,0,0,167,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,,0,-0.004,-0.008,-0.01,-0.002,0.01,0.006,0.007,0.007,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,-0.153846154,-0.363636364,-0.5,-0.083333333,0.3125,0.428571429,0.466666667,0.4375,0,0,0,0,,0,0,0,0,0,0,378.5239706,-11.47602935,0,1.2,0
1,-18,2018-06-16,1,PI_F_R2_2018,Guar,Hadiqa,Guar,0,150,0,0,,0.125757329,0.717433133,0,-0.717433133,0,,0,5.704901183,0,0,168,0.3,0.3,0.3,0.291709492,0.308456293,0.298485023,0.303847379,0.182575733,0,0,0,0,,0,-0.004,-0.008,-0.01,-0.000341898,0.008308741,0.006151498,0.006615262,0.018742427,0,0,0,0,,0,0,0,0,0,0,0,0.492307692,0.507692308,0,0,0,0,,0,0,0,0,0,-0.001658102,3.31572E-05,-0.000118341,0.000266397,0,0,0,0,,0,-15.38461538,-36.36363636,-50,-1.424577065,25.96481666,43.93926912,44.10174752,117.140167,0,0,0,0,,0,0,0,43.18,46.736,0,46.01856687,-0.717433133,46.736,0.125757329,0
2,-17,2018-06-17,1,PI_F_R2_2018,Guar,Hadiqa,Guar,0,150,0,0,,1.2,7.243461207,0,-7.243461207,0,,0,6.036217672,0,0,169,0.3,0.3,0.3,0.291709492,0.381003195,0.36,0.37,0.37,0,0,0,0,,0,-0.004,-0.008,-0.01,-0.000341898,-0.006200639,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0.01450938,0.020660878,0.02727614,0,0,0,0,,0,-15.38461538,-36.36363636,-50,-1.424577065,-19.37699693,0,0,0,0,0,0,0,,0,0,0,0,0,0,-7.243461207,-7.243461207,0,1.2,0
3,-16,2018-06-18,1,PI_F_R2_2018,Guar,Hadiqa,Guar,0,150,0,0,,1.090938025,7.662205566,0,-7.662205566,0,,0,7.02350215,0,0,170,0.3,0.3,0.3,0.291709492,0.367383462,0.387239466,0.388471585,0.279093803,0,0,0,0,,0,-0.004,-0.008,-0.01,-0.000341898,-0.003476692,-0.002723947,-0.001847159,0.00909062,0,0,0,0,,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,,0,0,0,0,0,0,-0.002723947,0,0.001847159,0,0,0,0,,0,-15.38461538,-36.36363636,-50,-1.424577065,-10.8646638,-19.45676145,-12.31439027,56.81637342,0,0,0,0,,0,0,0,0,0,0,-7.662205566,-7.662205566,0,1.090938025,0
4,-15,2018-06-19,1,PI_F_R2_2018,Guar,Hadiqa,Guar,0,150,0,0,,0.793017377,6.692620427,0,-6.692620427,0,,0,8.439437291,0,0,171,0.3,0.3,0.3,0.291709492,0.367383462,0.39825579,0.330625271,0.249301738,0,0,0,0,,0,-0.004,-0.008,-0.01,-0.000341898,-0.003476692,-0.003825579,0.003937473,0.012069826,0,0,0,0,,0,0,0,0,0,0,0,0.560174867,0.439825133,0,0,0,0,,0,0,0,0,0,0,0,0.001101632,-0.004682999,0,0,0,0,,0,-15.38461538,-36.36363636,-50,-1.424577065,-10.8646638,-27.32556396,26.24981932,75.43641392,0,0,0,0,,0,0,0,0,0,0,-6.692620427,-6.692620427,0,0.793017377,0
5,-14,2018-06-20,1,PI_F_R2_2018,Guar,Hadiqa,Guar,0,150,0,0,,0.341818622,2.141828872,0,-2.141828872,0,,0,6.265980652,0,0,172,0.3,0.3,0.3,0.291709492,0.406090626,0.235487223,0.39417318,0.204181862,0,0,0,0,,0,-0.004,-0.008,-0.01,-0.000341898,-0.011218125,0.012451278,-0.002417318,0.016581814,0,0,0,0,,0,0,0,0,0,0,0,0.691271004,0.308728996,0,0,0,0,,0,0,0,0,0,0,0.007741433,-0.008535424,-0.002180633,0,0,0,0,,0,-15.38461538,-36.36363636,-50,-1.424577065,-35.05664139,88.93769759,-16.11545345,103.6363361,0,0,0,0,,0,0,0,0,0,0,-2.141828872,-2.141828872,0,0.341818622,0
6,-13,2018-06-21,1,PI_F_R2_2018,Guar,Hadiqa,Guar,0,150,0,0,,0.127635735,0.827949065,0,-0.827949065,0,,0,6.486812384,0,0,173,0.3,0.3,0.3,0.291709492,0.392440793,0.262786889,0.39417318,0.182763573,0,0,0,0,,0,-0.004,-0.008,-0.01,-0.000341898,-0.008488159,0.009721311,-0.002417318,0.018723643,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,-0.002729967,0,0,0,0,0,0,,0,-15.38461538,-36.36363636,-50,-1.424577065,-26.52549578,69.4379362,-16.11545345,117.0227666,0,0,0,0,,0,0,0,0,0,0,-0.827949065,-0.827949065,0,0.127635735,0
7,-12,2018-06-22,1,PI_F_R2_2018,Guar,Hadiqa,Guar,0,150,0,0,,0.044840828,0.448762782,0,-0.448762782,0,,0,10.00790573,0,0,174,0.3,0.3,0.3,0.291709492,0.370828219,0.306012037,0.39417318,0.174484083,0,0,0,0,,0,-0.004,-0.008,-0.01,-0.000341898,-0.004165644,0.005398796,-0.002417318,0.019551592,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,-0.004322515,0,0,0,0,0,0,,0,-15.38461538,-36.36363636,-50,-1.424577065,-13.01763706,38.56283056,-16.11545345,122.1974482,0,0,0,0,,0,0,0,0,0.762,0,0.313237218,-0.448762782,0.762,0.044840828,0
8,-11,2018-06-23,1,PI_F_R2_2018,Guar,Hadiqa,Guar,0,150,0,0,,0.07616455,0.658544283,0,-0.658544283,0,,0,8.646335893,0,0,175,0.3,0.3,0.3,0.315738775,0.320868405,0.3578731,0.39417318,0.177616455,0,0,0,0,,0,-0.004,-0.008,-0.01,-0.005147755,0.005826319,0.00021269,-0.002417318,0.019238354,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0.004805856,-0.005186106,0,0,0,0,0,0,,0,-15.38461538,-36.36363636,-50,-21.4489791,18.20724661,1.519214232,-16.11545345,120.2397156,0,0,0,0,,0,0,0,43.18,43.18,0,32.52145572,-0.658544283,33.18,0.07616455,0
9,-10,2018-06-24,1,PI_F_R2_2018,Guar,Hadiqa,Guar,0,150,0,0,,1.2,10.38080313,0,-10.38080313,0,,0,8.650669276,0,0,176,0.3,0.325,0.325,0.314045827,0.35,0.36,0.37,0.37,0,0,0,0,,0,-0.004,-0.013,-0.015,-0.004809165,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0.01,0.01,0.015,0.02,0.01966141,0.025487729,0.025700419,0.023283101,0,0,0,0,,0,-15.38461538,-59.09090909,-75,-20.0381888,0,0,0,0,0,0,0,0,,0,0,0,0,0,0.01,-20.38080313,-10.38080313,-10,1.2,0
10,-9,2018-06-25,1,PI_F_R2_2018,Guar,Hadiqa,Guar,0,150,0,0,,0.777203833,5.623316489,0,-5.623316489,0,,0,7.235317494,0,0,177,0.3,0.35,0.25,0.314045827,0.359798316,0.340403369,0.388471585,0.247720383,0,0,0,0,,0,-0.004,-0.018,-1.11022E-17,-0.004809165,-0.001959663,0.001959663,-0.001847159,0.012227962,0,0,0,0,,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,,0,0.01,0.01,0.015,0,0,0.001959663,0,0.001847159,0,0,0,0,,0,-15.38461538,-81.81818182,-5.55112E-14,-20.0381888,-6.123947208,13.99759362,-12.31439027,76.42476045,0,0,0,0,,0,0,0,0,0,0.01,-15.62331649,-5.623316489,-10,0.777203833,0
11,-8,2018-06-26,1,PI_F_R2_2018,Guar,Hadiqa,Guar,0,150,0,0,,0.50707171,3.928800111,0,-3.928800111,0,,0,7.748016769,0,0,178,0.3,0.3,0.25,0.314045827,0.359798316,0.422776391,0.276878611,0.220707171,0,0,0,0,,0,-0.004,-0.008,-1.11022E-17,-0.004809165,-0.001959663,-0.006277639,0.009312139,0.014929283,0,0,0,0,,0,0,0,0,0,0,0,0.699966049,0.300033951,0,0,0,0,,0,0.01,0.01,0,0,0,0,0.008237302,-0.002921995,0,0,0,0,,0,-15.38461538,-36.36363636,-5.55112E-14,-20.0381888,-6.123947208,-44.84027942,62.08092629,93.30801813,0,0,0,0,,0,0,0,0,0,0.01,-3.928800111,-3.928800111,0,0.50707171,0
12,-7,2018-06-27,1,PI_F_R2_2018,Guar,Hadiqa,Guar,0,150,0,0,,0.207733054,2.17109274,0,-2.17109274,0,,0,10.4513591,0,0,179,0.3,0.3,0.25,0.314045827,0.359798316,0.365703673,0.324597193,0.190773305,0,0,0,0,,0,-0.004,-0.008,-1.11022E-17,-0.004809165,-0.001959663,-0.000570367,0.004540281,0.017922669,0,0,0,0,,0,0,0,0,0,0,0,0.849992748,0.150007252,0,0,0,0,,0,0,0,0,0,0,0,-0.005707272,-0.000935414,0,0,0,0,,0,-15.38461538,-36.36363636,-5.55112E-14,-20.0381888,-6.123947208,-4.074052122,30.26853781,112.0166841,0,0,0,0,,0,0,0,0,0,0,-2.17109274,-2.17109274,0,0.207733054,0
13,-6,2018-06-28,1,PI_F_R2_2018,Guar,Hadiqa,Guar,0,150,0,0,,0,0,0,0,0,,0,10.8946501,0,0,180,0.3,0.3,0.25,0.314045827,0.368788886,0.301522513,0.370797212,0.169062378,0,0,0,0,,0,-0.004,-0.008,-1.11022E-17,-0.004809165,-0.003757777,0.005847749,-7.97212E-05,0.020093762,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0.001798114,-0.004620002,0,0,0,0,0,,0,-15.38461538,-36.36363636,-5.55112E-14,-20.0381888,-11.743054,41.76963391,-0.531474671,125.5860138,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
14,-5,2018-06-29,1,PI_F_R2_2018,Guar,Hadiqa,Guar,0,150,0,0,,0,0,0,0,0,,0,9.578591623,0,0,181,0.3,0.3,0.25,0.330408445,0.32739611,0.351582829,0.370797212,0.169062378,0,0,0,0,,0,-0.004,-0.008,-1.11022E-17,-0.008081689,0.004520778,0.000841717,-7.97212E-05,0.020093762,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0.003272524,-0.005006032,0,0,0,0,0,0,,0,-15.38461538,-36.36363636,-5.55112E-14,-33.67370409,14.12743131,6.012265134,-0.531474671,125.5860138,0,0,0,0,,0,0,0,0,7.112,0,7.112,0,7.112,0,0
15,-4,2018-06-30,1,PI_F_R2_2018,Guar,Hadiqa,Guar,0,150,0,0,,0.70182378,6.736582335,0,-6.736582335,0,,0,9.598680652,0,0,182,0.3,0.3,0.25,0.31447402,0.355522197,0.327199505,0.370797212,0.240182378,0,0,0,0,,0,-0.004,-0.008,-1.11022E-17,-0.004894804,-0.001104439,0.003280049,-7.97212E-05,0.012981762,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,-0.003186885,0.002438332,0,0,0,0,0,0,,0,-15.38461538,-36.36363636,-5.55112E-14,-20.39501659,-3.45137287,23.42892468,-0.531474671,81.13601377,0,0,0,0,,0,0,0,40.64,40.64,0,23.90341766,-6.736582335,30.64,0.70182378,0
16,-3,2018-07-01,1,PI_F_R2_2018,Guar,Hadiqa,Guar,0,150,0,0,,1.2,10.92256207,0,-10.92256207,0,,0,9.102135061,0,0,183,0.3,0.325,0.275,0.308602853,0.35,0.36,0.37,0.37,0,0,0,0,,0,-0.004,-0.013,-0.005,-0.003720571,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.744611858,0.255388142,0,0,0,0,,0,0.01,0.01,0.015,0.02,0.018825767,0.017721327,0.021001377,0.020921655,0,0,0,0,,0,-15.38461538,-59.09090909,-25,-15.50237711,0,0,0,0,0,0,0,0,,0,0,0,0,0,0.01,-10.92256207,-10.92256207,0,1.2,0
17,-2,2018-07-02,1,PI_F_R2_2018,Guar,Hadiqa,Guar,0.1,150,0,0.1,,0.66782741,4.832090787,1.085330741,-5.917421528,1.085330741,,1.085330741,7.235538275,0,0,184,0.3,0.325,0.275,0.308602853,0.359798316,0.340403369,0.388471585,0.242302794,0,0,0,0,,0,-0.004,-0.013,-0.005,-0.003720571,-0.001959663,0.001959663,-0.001847159,0.012769721,0,0,0,0,,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,,0,0,0,0,0,0,0.001959663,0,0.001847159,0,0,0,0,,0,-15.38461538,-59.09090909,-25,-15.50237711,-6.123947208,13.99759362,-12.31439027,79.81075383,0,0,0,0,,0,0,0,0,0,0,-5.917421528,-5.917421528,1.085330741,0.66782741,1.085330741
18,-1,2018-07-03,1,PI_F_R2_2018,Guar,Hadiqa,Guar,0.1,150,0,0.1,,0.439449326,3.601601936,0.427045902,-4.028647838,1.229357423,,2.314688164,8.195716154,0,0,185,0.3,0.325,0.275,0.308602853,0.359798316,0.422776391,0.271720806,0.217506336,0,0,0,0,,0,-0.004,-0.013,-0.005,-0.003720571,-0.001959663,-0.006277639,0.009827919,0.015249366,0,0,0,0,,0,0,0,0,0,0,0,0.731487584,0.268512416,0,0,0,0,,0,0,0,0,0,0,0,0.008237302,-0.00264387,0,0,0,0,,0,-15.38461538,-59.09090909,-25,-15.50237711,-6.123947208,-44.84027942,65.5194627,95.30854013,0,0,0,0,,0,0,0,0,0,0,-4.028647838,-4.028647838,0.427045902,0.439449326,2.314688164
19,0,2018-07-04,1,PI_F_R2_2018,Guar,Hadiqa,Guar,0.1,150,0,0.1,,0.180388706,1.521238566,0.528403569,-2.049642135,1.264967134,,3.579655298,8.433114227,0,0,186,0.3,0.325,0.275,0.308602853,0.359798316,0.370495593,0.311741512,0.18947995,0,0,0,0,,0,-0.004,-0.013,-0.005,-0.003720571,-0.001959663,-0.001049559,0.005825849,0.018052005,0,0,0,0,,0,0,0,0,0,0,0,0.880234346,0.119765654,0,0,0,0,,0,0,0,0,0,0,0,-0.00522808,-0.000850109,0,0,0,0,,0,-15.38461538,-59.09090909,-25,-15.50237711,-6.123947208,-7.496851939,38.83899222,112.8250312,0,0,0,0,,0,0,0,12.7,12.7,0,10.65035787,-2.049642135,13.22840357,0.180388706,3.579655298
